date_id,award_date,year,quarter,month
789,2020-02-28,2020,1,2
790,2020-02-29,2020,1,2
791,2020-03-01,2020,1,3
792,2020-03-02,2020,1,3
793,2020-03-03,2020,1,3
794,2020-03-04,2020,1,3
795,2020-03-05,2020,1,3
796,2020-03-06,2020,1,3
797,2020-03-07,2020,1,3
798,2020-03-08,2020,1,3
799,2020-03-09,2020,1,3
800,2020-03-10,2020,1,3
801,2020-03-11,2020,1,3
802,2020-03-12,2020,1,3
803,2020-03-13,2020,1,3
804,2020-03-14,2020,1,3
805,2020-03-15,2020,1,3
806,2020-03-16,2020,1,3
807,2020-03-17,2020,1,3
808,2020-03-18,2020,1,3
809,2020-03-19,2020,1,3
810,2020-03-20,2020,1,3
811,2020-03-21,2020,1,3
812,2020-03-22,2020,1,3
813,2020-03-23,2020,1,3
814,2020-03-24,2020,1,3
815,2020-03-25,2020,1,3
816,2020-03-26,2020,1,3
817,2020-03-27,2020,1,3
818,2020-03-28,2020,1,3
819,2020-03-29,2020,1,3
820,2020-03-30,2020,1,3
821,2020-03-31,2020,1,3
822,2020-04-01,2020,2,4
823,2020-04-02,2020,2,4
824,2020-04-03,2020,2,4
825,2020-04-04,2020,2,4
826,2020-04-05,2020,2,4
827,2020-04-06,2020,2,4
828,2020-04-07,2020,2,4
829,2020-04-08,2020,2,4
830,2020-04-09,2020,2,4
831,2020-04-10,2020,2,4
832,2020-04-11,2020,2,4
833,2020-04-12,2020,2,4
834,2020-04-13,2020,2,4
835,2020-04-14,2020,2,4
836,2020-04-15,2020,2,4
837,2020-04-16,2020,2,4
838,2020-04-17,2020,2,4
839,2020-04-18,2020,2,4
840,2020-04-19,2020,2,4
841,2020-04-20,2020,2,4
842,2020-04-21,2020,2,4
843,2020-04-22,2020,2,4
844,2020-04-23,2020,2,4
845,2020-04-24,2020,2,4
846,2020-04-25,2020,2,4
847,2020-04-26,2020,2,4
848,2020-04-27,2020,2,4
849,2020-04-28,2020,2,4
850,2020-04-29,2020,2,4
851,2020-04-30,2020,2,4
852,2020-05-01,2020,2,5
853,2020-05-02,2020,2,5
854,2020-05-03,2020,2,5
855,2020-05-04,2020,2,5
856,2020-05-05,2020,2,5
857,2020-05-06,2020,2,5
858,2020-05-07,2020,2,5
859,2020-05-08,2020,2,5
860,2020-05-09,2020,2,5
861,2020-05-10,2020,2,5
862,2020-05-11,2020,2,5
863,2020-05-12,2020,2,5
864,2020-05-13,2020,2,5
865,2020-05-14,2020,2,5
866,2020-05-15,2020,2,5
867,2020-05-16,2020,2,5
868,2020-05-17,2020,2,5
869,2020-05-18,2020,2,5
870,2020-05-19,2020,2,5
